t,x,y,z,value
8,91,68,19,22.857910757362426
6,73,88,52,14.092089645129619
5,71,49,36,20.89519583932548
2,12,69,41,25.15062582503854
3,38,74,69,14.645151927520144
0,94,48,21,25.769967043041113
0,13,5,36,20.438435340687565
0,51,67,94,18.792224390121667
1,10,31,57,11.626005108050553
8,64,83,57,28.0277513161555
6,97,68,72,16.248892468810865
9,1,13,85,13.508621852812972
5,34,9,92,15.957510231526786
6,13,67,5,22.914187592542234
9,92,37,25,7.425537066914824
7,81,55,16,25.89114020505383
6,90,47,96,7.171566285116819
5,5,63,24,18.70976073469103
5,96,96,51,16.95831538201717
9,4,26,9,28.453646266617966
2,79,79,73,24.886383669941836
8,8,91,99,20.192140290639532
6,54,54,89,23.012296089560387
0,17,50,40,17.498918764063912
3,2,54,8,26.124846670864112
8,75,57,9,21.017273665344938
5,10,0,47,22.9508143322679
0,66,59,44,20.80887777526221
7,98,16,68,24.217042722816437
7,79,20,96,20.86768890133405
8,48,87,54,20.498350976084524
1,76,15,59,29.141027706249986
0,88,89,70,19.871567897676794
8,6,62,93,27.770506742277504
0,8,86,39,17.216246936289526
5,24,20,14,17.59120225326679
0,85,74,71,22.5421021646551
2,92,14,71,16.7886417865782
4,28,37,40,18.794827876752432
4,53,56,71,6.740023944292684
4,43,49,72,16.955066022051614
0,70,96,53,17.119298643999777
0,64,77,62,30.70099844480816
1,97,87,24,20.976834491769115
0,58,23,52,19.502465486740867
6,92,50,42,20.47787942830536
5,7,25,16,14.884743618595468
6,92,71,51,21.437573730533792
2,45,52,1,22.29463824080458
6,41,22,86,24.26094571369622
7,86,66,95,16.352937218088567
3,53,23,54,22.3679617862413
4,32,74,39,17.84694472878829
9,6,56,81,24.293166326958385
8,22,21,74,21.444198939323243
9,4,87,32,13.713006994835036
3,40,75,96,24.063962502876784
6,53,94,32,11.87770404049216
9,1,41,29,19.872890062370836
6,23,87,66,23.776939483645837
8,28,37,14,19.73181169869721
6,35,21,99,14.960421723967297
7,56,31,21,17.590204629263415
3,24,91,10,17.505620126414115
8,75,74,63,24.336277230047987
1,46,20,87,23.05149776073825
5,80,17,12,13.833767250229842
7,92,61,8,24.29998557320452
8,63,45,19,24.13718258972697
5,23,78,93,20.89785796043591
3,2,11,31,9.717178349134947
3,8,27,43,24.458519214163616
4,3,78,47,21.9603465003903
4,95,70,43,24.246224554346533
7,59,61,32,8.481659620065285
8,63,51,43,16.643901203528245
0,6,17,50,20.738367963429212
9,37,65,34,15.728120168521954
5,69,28,74,32.71624658556686
3,50,74,42,13.398919111892088
6,43,14,91,22.879342884170693
5,9,40,82,26.492479616804257
2,48,35,7,29.036920774856426
3,31,62,65,23.76022526851843
7,69,81,65,22.935408440592045
5,3,63,8,17.055187004125536
5,56,34,57,18.649284949913703
3,15,16,36,9.165192329679515
7,51,85,15,14.8545902228831
3,47,34,91,18.618411810764147
3,75,51,64,19.348375248896687
8,8,8,75,24.74983672414233
2,57,45,18,22.702036390871225
2,32,75,84,14.993247862177245
7,25,61,23,25.170914647972808
6,59,57,97,21.82920218986524
0,62,69,63,10.533437469441791
0,86,38,95,9.695885839062775
3,70,63,22,17.938323903815277
8,22,3,50,25.554295992054648
4,6,98,11,21.18298876258648
7,36,55,71,23.034114630798182
3,43,46,21,15.6540909676286
2,27,54,22,20.05259777581041
7,71,58,61,16.065299988618715
8,28,45,48,21.207542505239815
0,78,76,43,22.56039935109683
0,96,82,73,12.311162328470708
6,71,26,71,10.907995566388966
3,43,1,12,9.032514002898802
5,81,50,65,20.224996140252895
1,80,92,59,24.884497353524964
8,53,99,27,20.82633930053848
4,14,97,73,20.80342964772217
8,12,73,82,20.38787190167019
7,46,14,6,15.995224664737172
7,6,92,23,24.708631775703505
2,46,87,20,22.959326651714214
7,4,1,75,26.633128762630758
0,62,61,11,28.681123470425597
5,40,81,39,20.88477298250612
4,67,91,55,14.946287052317148
9,51,97,19,20.199686177682963
1,39,74,42,20.095010057623725
9,68,54,5,15.590574068446983
0,19,66,45,13.017647083553324
6,38,4,10,22.514099140045712
5,94,78,96,19.162091211873157
8,57,55,90,20.432103567978903
2,37,28,54,15.67915148330622
9,92,44,95,17.18044533686546
6,12,49,98,19.51729495912262
8,23,81,19,16.481816370147754
1,54,48,11,16.864408722477396
7,79,80,89,7.837235921002723
9,20,15,20,24.855496478473476
0,11,92,92,20.158906114304493
3,80,22,21,21.833075617868086
6,39,66,48,20.521183254122196
1,69,1,10,16.486504132372055
5,68,22,77,26.360114497270267
6,59,88,96,22.85098357994189
7,66,92,23,22.545066997643648
9,1,4,77,19.625147934440307
4,17,85,81,20.847686429032507
4,42,9,70,23.048540058314938
4,67,31,78,19.205516262366828
9,55,69,56,19.892065133899717
1,22,46,68,12.040666267339185
4,76,86,9,22.304769251892427
0,50,42,0,21.9998193612124
4,34,69,88,23.63710348236396
9,11,42,90,11.578485151443104
6,93,71,4,21.199591654916553
3,74,86,29,19.634722269835553
9,44,37,16,15.876110938676572
6,50,44,32,17.739439846984038
9,8,78,54,17.608888905008186
0,5,15,55,17.49400370414517
4,43,77,53,23.737535156261814
8,1,50,65,21.01750155131907
7,84,35,98,23.16825129146012
4,7,79,4,23.225328272407285
4,18,92,36,18.234439763432004
4,30,7,53,18.210151758163786
5,32,45,77,15.54378429903564
2,53,95,65,22.197831259355013
7,97,67,6,14.42856955109962
0,65,67,80,23.662249264895202
4,7,40,3,24.478244569030014
2,18,51,21,20.63471020726833
7,33,57,93,15.198338856895482
7,98,66,55,22.115237261061296
7,43,8,88,19.092097961814467
9,88,68,48,24.535726647913894
9,48,42,90,16.482281972901987
1,79,20,84,22.166756982657944
1,54,76,15,14.000713094709763
1,65,48,70,23.296525680014177
7,68,83,42,21.73217883065641
9,28,7,68,23.67159770536527
9,39,34,65,17.186077561293523
6,26,16,25,23.211913221428485
9,3,5,64,18.359495062945076
8,17,54,75,16.47606596474969
0,33,16,48,15.596014686299759
1,29,37,31,17.51262186904596
8,2,28,68,17.675816300640246
0,58,47,23,27.88848773170968
9,50,49,14,20.227796038257697
8,55,30,35,20.523385888044754
9,86,26,45,22.399414453747266
3,57,8,82,23.05898836665009
1,8,37,3,17.70304399198092
5,69,75,33,19.117135086387215
9,40,1,56,26.69021457651052
3,28,24,26,17.78116498373304
8,91,41,51,17.91816699110269
3,56,86,8,13.66849746506901
8,83,69,91,25.15615301682992
2,43,42,52,22.447038103760075
4,73,44,7,13.31726802536687
3,96,22,9,14.430845612302273
2,71,19,96,17.73524146315228
8,61,59,34,28.39912047815492
8,0,93,94,14.849954520977326
1,37,59,85,32.13295212733501
9,43,18,84,20.18242831788719
9,99,78,16,15.406829485362394
2,88,86,84,14.308505305670536
4,72,92,11,24.444964185967116
5,72,19,15,12.572160319869724
6,18,70,4,18.592329549242127
4,35,15,96,23.16705985271615
